Num_episode;Title;Type;Year_launch;Rate;Votes;Saga;Airdate
1;Homecoming;Mixed Canon/Filler;2007;8.2;728;s1 Kazekage Rescue;15/2/2007
2;The Akatsuki Makes Its Move;Mixed Canon/Filler;2007;8;575;s1 Kazekage Rescue;15/2/2007
3;The Results of Training;Mixed Canon/Filler;2007;8;508;s1 Kazekage Rescue;22/2/2007
4;The Jinchuriki of the Sand;Mixed Canon/Filler;2007;8.2;517;s1 Kazekage Rescue;1/3/2007
5;The Kazekage Stands Tall;Mixed Canon/Filler;2007;8.2;486;s1 Kazekage Rescue;15/3/2007
6;Mission Cleared;Mixed Canon/Filler;2007;8.2;480;s1 Kazekage Rescue;29/3/2007
7;Run, Kankuro;Mixed Canon/Filler;2007;7.8;457;s1 Kazekage Rescue;29/3/2007
8;Team Kakashi, Deployed;Mixed Canon/Filler;2007;7.7;437;s1 Kazekage Rescue;12/4/2007
9;The Jinchuriki's Tears;Mixed Canon/Filler;2007;7.6;434;s1 Kazekage Rescue;12/4/2007
10;Sealing Jutsu: Nine Phantom Dragons;Mixed Canon/Filler;2007;7.5;424;s1 Kazekage Rescue;19/4/2007
11;The Medical Ninja's Student;Mixed Canon/Filler;2007;7.7;425;s1 Kazekage Rescue;26/4/2007
12;The Retired Granny's Determination;Mixed Canon/Filler;2007;7.9;425;s1 Kazekage Rescue;3/5/2007
13;A Meeting With Destiny;Mixed Canon/Filler;2007;8.1;432;s1 Kazekage Rescue;10/5/2007
14;Naruto's Growth;Mixed Canon/Filler;2007;8.3;452;s1 Kazekage Rescue;17/5/2007
15;The Secret Weapon is Called....;Mixed Canon/Filler;2007;8.4;447;s1 Kazekage Rescue;24/5/2007
16;The Secret of Jinchuriki;Mixed Canon/Filler;2007;7.6;403;s1 Kazekage Rescue;31/5/2007
17;The Death of Gaara!;Mixed Canon/Filler;2007;7.8;405;s1 Kazekage Rescue;7/6/2007
18;Charge Tactic! Button Hook Entry!!;Mixed Canon/Filler;2007;7.7;407;s1 Kazekage Rescue;21/6/2007
19;Traps Activate! Team Guy's Enemies;Mixed Canon/Filler;2007;7.8;399;s1 Kazekage Rescue;5/7/2007
20;Hiruko vs. Two Kunoichi!;Manga Canon;2007;8.1;427;s1 Kazekage Rescue;19/7/2007
21;Sasori's Real Face;Manga Canon;2007;8.1;421;s1 Kazekage Rescue;26/7/2007
22;Chiyo's Secret Skills;Manga Canon;2007;7.9;413;s1 Kazekage Rescue;2/8/2007
23;Father and Mother;Manga Canon;2007;7.9;410;s1 Kazekage Rescue;2/8/2007
24;The Third Kazekage;Mixed Canon/Filler;2007;8.1;418;s1 Kazekage Rescue;9/8/2007
25;Three Minutes Between Life and Death;Mixed Canon/Filler;2007;7.9;414;s1 Kazekage Rescue;16/8/2007
26;Puppet Fight: 10 vs. 100!;Manga Canon;2007;8.4;656;s1 Kazekage Rescue;23/8/2007
27;Impossible Dream;Manga Canon;2007;8.5;474;s1 Kazekage Rescue;30/8/2007
28;Beasts! Alive Again!;Filler;2007;7.1;367;s1 Kazekage Rescue;13/9/2007
29;Kakashi Enlightened!;Manga Canon;2007;8.1;402;s1 Kazekage Rescue;27/9/2007
30;Aesthetics of an Instant;Manga Canon;2007;8.4;439;s1 Kazekage Rescue;27/9/2007
31;The Legacy!;Manga Canon;2007;8.5;675;s1 Kazekage Rescue;18/10/2007
32;Return of the Kazekage;Manga Canon;2007;7.9;405;s1 Kazekage Rescue;25/10/2007
33;The New Target;Manga Canon;2007;7.7;374;s2 Long-Awaited Reunion;8/11/2007
34;Formation! New Team Kakashi!;Manga Canon;2007;7.2;362;s2 Long-Awaited Reunion;15/11/2007
35;An Unnecessary Addition;Manga Canon;2007;7.3;364;s2 Long-Awaited Reunion;22/11/2007
36;The Fake Smile;Manga Canon;2007;7.2;362;s2 Long-Awaited Reunion;29/11/2007
37;Untitled;Manga Canon;2007;7.1;361;s2 Long-Awaited Reunion;29/11/2007
38;Simulation;Manga Canon;2007;7.1;360;s2 Long-Awaited Reunion;6/12/2007
39;The Tenchi Bridge;Manga Canon;2007;7.8;379;s2 Long-Awaited Reunion;13/12/2007
40;Nine-Tails Unleashed;Manga Canon;2007;7.7;393;s2 Long-Awaited Reunion;20/12/2007
41;The Top-Secret Mission Begins;Manga Canon;2007;8;395;s2 Long-Awaited Reunion;20/12/2007
42;Orochimaru vs. Jinchuriki;Manga Canon;2008;8.5;459;s2 Long-Awaited Reunion;10/1/2008
43;Sakura's Tears;Manga Canon;2008;7.9;380;s2 Long-Awaited Reunion;17/1/2008
44;The Secret of the Battle!;Manga Canon;2008;7.4;354;s2 Long-Awaited Reunion;24/1/2008
45;The Consequences of Betrayal;Mixed Canon/Filler;2008;7.3;346;s2 Long-Awaited Reunion;31/1/2008
46;The Unfinished Page;Manga Canon;2008;7.3;347;s2 Long-Awaited Reunion;7/2/2008
47;Infiltration: The Den of the Snake!;Manga Canon;2008;7.4;348;s2 Long-Awaited Reunion;14/2/2008
48;Bonds;Manga Canon;2008;7.2;355;s2 Long-Awaited Reunion;28/2/2008
49;Something Important...;Mixed Canon/Filler;2008;7.5;360;s2 Long-Awaited Reunion;6/3/2008
50;The Picture Book's Story;Mixed Canon/Filler;2008;7.3;345;s2 Long-Awaited Reunion;13/3/2008
51;Reunion;Manga Canon;2008;7.5;358;s2 Long-Awaited Reunion;20/3/2008
52;The Power of the Uchiha;Manga Canon;2008;8;384;s2 Long-Awaited Reunion;20/3/2008
53;Title;Manga Canon;2008;7.5;364;s2 Long-Awaited Reunion;3/4/2008
54;Nightmare;Mixed Canon/Filler;2008;7.5;362;s3 Twelve Guardian Ninja;3/4/2008
55;Wind;Manga Canon;2008;7.9;363;s3 Twelve Guardian Ninja;17/4/2008
56;Squirming;Mixed Canon/Filler;2008;7.6;346;s3 Twelve Guardian Ninja;24/4/2008
57;Robbed of Sleep;Filler;2008;6.9;269;s3 Twelve Guardian Ninja;8/5/2008
58;Loneliness;Filler;2008;6.6;267;s3 Twelve Guardian Ninja;8/5/2008
59;A New Enemy;Filler;2008;6.5;262;s3 Twelve Guardian Ninja;15/5/2008
60;Impermanence;Filler;2008;6.7;256;s3 Twelve Guardian Ninja;22/5/2008
61;Contact;Filler;2008;6.7;259;s3 Twelve Guardian Ninja;29/5/2008
62;Teammate;Filler;2008;6.5;256;s3 Twelve Guardian Ninja;5/6/2008
63;The Two Kings;Filler;2008;6.6;253;s3 Twelve Guardian Ninja;19/6/2008
64;The Jet-Black Signal Fire;Filler;2008;6.6;250;s3 Twelve Guardian Ninja;3/7/2008
65;Lockdown of Darkness;Filler;2008;6.9;249;s3 Twelve Guardian Ninja;3/7/2008
66;Revived Souls;Filler;2008;6.7;250;s3 Twelve Guardian Ninja;10/7/2008
67;Everyone's Struggle to the Death;Filler;2008;6.8;247;s3 Twelve Guardian Ninja;24/7/2008
68;Moment of Awakening;Filler;2008;6.7;247;s3 Twelve Guardian Ninja;31/7/2008
69;Despair;Filler;2008;6.6;251;s3 Twelve Guardian Ninja;31/7/2008
70;Resonance;Filler;2008;6.6;253;s3 Twelve Guardian Ninja;7/8/2008
71;My Friend;Filler;2008;6.6;265;s3 Twelve Guardian Ninja;14/8/2008
72;The Quietly Approaching Threat;Manga Canon;2008;7.3;335;s4 Immortal Devastators;21/8/2008
73;Akatsuki's Invasion;Manga Canon;2008;7.7;360;s4 Immortal Devastators;28/8/2008
74;Under the Starry Sky;Manga Canon;2008;7.5;340;s4 Immortal Devastators;4/9/2008
75;The Old Monk's Prayer;Manga Canon;2008;7.4;334;s4 Immortal Devastators;11/9/2008
76;The Next Step;Manga Canon;2008;7.7;348;s4 Immortal Devastators;25/9/2008
77;Climbing Silver;Manga Canon;2008;8.3;382;s4 Immortal Devastators;25/9/2008
78;The Judgment;Manga Canon;2008;8.6;501;s4 Immortal Devastators;2/10/2008
79;Unfulfilled Scream;Manga Canon;2008;8.6;482;s4 Immortal Devastators;2/10/2008
80;Last Words;Manga Canon;2008;8.5;634;s4 Immortal Devastators;16/10/2008
81;Sad News;Manga Canon;2008;8.1;372;s4 Immortal Devastators;23/10/2008
82;Team Ten;Manga Canon;2008;8.6;569;s4 Immortal Devastators;30/10/2008
83;Target: Locked On;Manga Canon;2008;8.3;377;s4 Immortal Devastators;6/11/2008
84;Kakuzu's Abilities;Manga Canon;2008;8.5;427;s4 Immortal Devastators;13/11/2008
85;Terrifying Secret;Manga Canon;2008;8.4;518;s4 Immortal Devastators;20/11/2008
86;Shikamaru's Genius;Manga Canon;2008;8.4;589;s4 Immortal Devastators;4/12/2008
87;When You Curse Someone, You Dig Your Own Grave;Manga Canon;2008;8.6;730;s4 Immortal Devastators;4/12/2008
88;Wind Style: Rasen Shuriken!;Manga Canon;2008;8.4;617;s4 Immortal Devastators;11/12/2008
89;The Price of Power;Mixed Canon/Filler;2008;7.7;344;s5 The Three-Tailed Demon Turtle;18/12/2008
90;A Shinobi's Determination;Mixed Canon/Filler;2008;6.9;287;s5 The Three-Tailed Demon Turtle;25/12/2008
91;Orochimaru's Hideout Discovered;Filler;2009;7;260;s5 The Three-Tailed Demon Turtle;8/1/2009
92;Encounter;Filler;2009;6.7;256;s5 The Three-Tailed Demon Turtle;15/1/2009
93;Connecting Hearts;Filler;2009;6.5;253;s5 The Three-Tailed Demon Turtle;22/1/2009
94;A Night of Rain;Filler;2009;6.4;245;s5 The Three-Tailed Demon Turtle;29/1/2009
95;The Two Charms;Filler;2009;6.4;246;s5 The Three-Tailed Demon Turtle;5/2/2009
96;The Unseeing Enemy;Filler;2009;6.6;239;s5 The Three-Tailed Demon Turtle;12/2/2009
97;The Labyrinth of Distorted Reflection;Filler;2009;6.8;240;s5 The Three-Tailed Demon Turtle;19/2/2009
98;The Target Appears;Filler;2009;6.8;239;s5 The Three-Tailed Demon Turtle;26/2/2009
99;The Rampaging Tailed Beast;Filler;2009;6.8;244;s5 The Three-Tailed Demon Turtle;5/3/2009
100;Inside the Mist;Filler;2009;6.5;241;s5 The Three-Tailed Demon Turtle;12/3/2009
